target,accuracy,precision_macro,recall_macro,f1_macro,unique_actual_values
tar_147,0.8600985221674877,0.8207720445773983,0.7358782497691966,0.7653370237707587,2
tar_148,0.6236453201970443,0.5416884702598989,0.5289103743833001,0.5192412609609967,2
tar_149,0.7044334975369458,0.6788570691434468,0.6461011591148578,0.651681537405628,2
tar_150,0.7714285714285715,0.7467010521366013,0.6568403056744082,0.6729335422291854,2
tar_151,0.7103448275862069,0.7082451127947416,0.6938087098280351,0.6962018357590221,2
tar_152,0.864039408866995,0.8391855834868349,0.7662366311581723,0.7928571428571428,2
tar_153,0.638423645320197,0.5592870544090056,0.5413071895424837,0.5342668708780045,2
tar_154,0.722167487684729,0.7205153303724482,0.6835964741562465,0.6886557254366195,2
tar_155,0.7103448275862069,0.6314902893380896,0.590054103132927,0.5942075890428842,2
tar_156,0.8512315270935961,0.7887068503821997,0.7119584643980554,0.7387538799561593,2
tar_157,0.8660098522167488,0.7897784187074712,0.7185444480625204,0.7451368477024651,2
tar_158,0.6285714285714286,0.6227977797660995,0.6221064814814814,0.6223768287568154,2
tar_159,0.9103448275862069,0.456071076011846,0.49892008639308855,0.47653429602888087,2
tar_160,0.6679802955665025,0.6682918210272063,0.6685956039680996,0.6678977716805069,2
tar_161,0.8798029556650246,0.8536770357186199,0.7879131312909564,0.8135651912074676,2
tar_162,0.6935960591133005,0.6882003040150004,0.6654761904761906,0.6679660587292955,2
tar_163,1.0,1.0,1.0,1.0,2
tar_164,0.8236453201970443,0.8032023620258915,0.7589240360193951,0.7749866553717237,2
tar_165,0.8600985221674877,0.8284758067900457,0.7547020923497445,0.7814039408866995,2
tar_166,0.8561576354679803,0.8277918011531352,0.7526445323297399,0.7792899866552283,2
tar_167,0.7586206896551724,0.7581345018017442,0.7029122145401215,0.7137128851363252,2
tar_168,0.7024630541871921,0.6934693713201739,0.6741975636873399,0.677765583476301,2
tar_169,0.7034482758620689,0.6187239592992346,0.5907864010664348,0.595691915161669,2
tar_170,0.7793103448275862,0.540530303030303,0.5131786382894866,0.49599205504717314,2
tar_171,0.7724137931034483,0.7776659209545116,0.7298116328445168,0.7400785534459421,2
tar_172,0.7576354679802956,0.7454353583469671,0.7248213649949908,0.7314398926146777,2
tar_173,0.7635467980295566,0.7531182795698925,0.701734539969834,0.7138480622486185,2
tar_174,0.6098522167487684,0.5842634652822842,0.5792464114832536,0.579905182360909,2
tar_175,0.722167487684729,0.7151518596411451,0.6849686031453865,0.6904282933160286,2
tar_176,0.7211822660098522,0.7223651574160701,0.6678774115656595,0.672888256227758,2
tar_177,0.734975369458128,0.5687301166489926,0.5243345987776642,0.5047981268170945,2
tar_178,0.6926108374384237,0.6896414813125595,0.6830015404203147,0.6842671984047857,2
tar_179,0.6532019704433497,0.6546459087732672,0.651330359709994,0.6505149153285128,2
tar_180,0.9123152709359605,0.45660749506903353,0.4994606256742179,0.4770736733642452,2
tar_181,0.9773399014778326,0.4886699507389163,0.5,0.4942700548081714,2
tar_182,0.7034482758620689,0.7056257930916366,0.7060042740042272,0.703429852226982,2
