,bitmap_01,bitmap_02,bitmap_03,bitmap_05,bitmap_07,bitmap_08,bitmap_09,bitmap_10,bitmap_11,bitmap_12,bitmap_13,bitmap_14,bitmap_15,bitmap_16,bitmap_17,bitmap_18,bitmap_19,bitmap_20,bitmap_21,bitmap_22,bitmap_23,bitmap_24,bitmap_25
tar_44,4.8377507055867625e-06,0.027108532248143934,4.8377507055867625e-06,0.0031474215543692316,0.03542655198249946,0.010184165743951317,0.005780386751950571,0.001785945253369127,0.008610030522508751,0.008672441755040602,0.002737815865216944,0.0037887139779977435,0.000756445448135865,0.00019210120801211843,0.0020134359915791812,5.102313913259355e-05,0.0005018272825244297,0.002266269743409017,0.007439983443059822,0.03478340948051327,0.009038011186048082,0.02042945589539465,0.8152763560257321
tar_45,0.0049221948923400555,0.06935416208555883,0.004444680012010053,0.08400351819362512,0.1137800837375561,0.011649126271588704,0.004635015973045156,0.0021364960753513535,0.00010400025486059779,0.07198729279064538,0.0004575152345837492,0.00206487348431681,6.84098767283041e-05,0.021563532489165736,0.00020908828062012606,0.04822045883589876,0.009075042887516902,0.0006505782513588443,0.002305822214200259,0.1708044012071948,0.0004918250343086591,0.06940011900823481,0.3076717629092909
tar_46,0.07723683273428478,0.1134805320499585,0.07946673604427777,0.05740961413171125,0.053978081237865336,0.042368986328927445,0.0032293004817032776,0.017613177589878466,0.0001867475623995197,0.003299882570515692,0.0004128783122347708,0.0007964399382233099,0.0015927286762613835,0.044769607946767855,0.003434176761484731,0.004140812894149452,0.005660909847935248,0.005037390459634825,0.009800387117314766,0.14537882862327556,0.007655712411272409,0.31736767304698627,0.005682563232937418
tar_47,0.03416198551268042,0.14371847608385455,0.019326021707960085,0.059958103704588685,0.08900661988164504,0.03037677380844456,0.0012156587720961415,0.007317559687592613,0.002127400731153457,0.0003958208808544877,0.0008568569552425251,0.007973055781284261,0.008811643980514015,0.028829239561229156,0.0076547256210692145,0.0014388539522255024,1.8724215861279256e-05,8.158192026502476e-05,0.005345773930162449,0.1624362911558658,0.03383533262214602,0.3480731700272654,0.007040329505999231
tar_48,0.021971989289754294,0.11671813259867969,0.0805099875754593,0.04765099928323794,0.052069402377874434,0.07954440760693078,0.003440738001582998,0.0008927799024896668,0.005850816207992556,0.01102324250231208,3.3689847855087755e-05,0.00037424609969245927,0.0052921683366720824,0.06394472794542971,3.789601353681714e-05,0.0007381268716670388,0.0007542745317188248,0.00011791345811985434,0.003760502616060997,0.1280540002185711,0.0041987421532917405,0.3182444984746908,0.054776718086379746
tar_49,0.03602050208315417,0.13240432091820273,0.10109452285114136,0.04802906143912696,0.05324922851716646,0.0901167141380757,0.003104710931777651,0.001200359872853284,7.787426348924437e-05,0.015627505512246672,0.0004197282034544816,0.0005030001132294406,0.0037407585304406995,0.06323821659043813,1.8707384105305487e-05,0.002921272845738647,0.0017881050483977362,0.003323083104274759,0.006622878196032522,0.10989020983400583,0.001713341028856982,0.2918872349880169,0.03300866360577422
tar_50,0.02638244487515827,0.1136673217989564,0.08540380839824965,0.03698843098539105,0.05351999643085695,0.09571842111985687,0.0011349441195012086,0.00020140868364846773,0.0026702054081832152,0.014397467283929686,9.522107189618737e-05,0.0008893389489145199,0.0012942384669260123,0.06655748045722916,2.788032571369509e-06,0.0029138120317021765,0.000558356137492466,0.002521902705890852,0.0022267185365429033,0.1259230060653921,0.00223916687266564,0.3150950896932931,0.04959843187575167
tar_51,0.026997386505438276,0.14305361870428654,0.08174444902288172,0.05111416886516641,0.047217840510851476,0.09082681211802303,0.003216952010921526,0.0006919789978553457,0.0022750815156691267,0.013949825636452513,0.0003813075198713881,0.0025048960357227416,0.002542185674348279,0.055945658946327734,2.381386266261709e-06,3.858130929658685e-06,0.0006384958303322135,0.002883915449393433,0.0018107007951791087,0.11486015614465467,8.318592478859653e-06,0.3001951779261009,0.05713483368084875
tar_52,0.007547196324001063,0.3464690703198555,0.01978872028862006,0.019655336588146128,0.08783452887533971,0.030755822200228995,0.02689584251548821,0.011397564185838194,0.0013331317548278588,0.006309238503194758,3.168059951221963e-05,0.0019730813388374024,0.000478425675212251,0.015608967016487228,0.001251445603304377,0.0014611648801608808,0.0022934086385473,0.001112860310112084,0.0018890835729309546,0.18454747298787758,0.013797369944852225,0.067178694777366,0.15038989309925885
tar_53,0.012394490564419179,0.33958167001992134,0.007236989722792793,0.018337250152250167,0.06263890317203749,0.019706725441328645,0.06030462964738667,0.007491226374117356,0.004365717297344476,0.006918466508102249,0.0007828625329443913,0.014203484746519696,0.002877511682960843,0.015172920232241387,0.007546845262855861,0.003126826825384585,0.0049470447838188825,0.008494737089568315,0.00923056352925079,0.2061201366100241,0.001031978309423052,0.05664650217119399,0.13084251732411392
tar_54,0.021574473206309012,0.16127343543380684,0.007416156028428136,0.013046341752224064,0.11936105011270287,0.004208879001628555,0.056119458345719554,0.011497049968798315,0.007719344553172518,0.010607503576644278,0.003560141874994135,0.022542560423830887,0.00043362807525512936,0.005737794999389706,0.011979423532627976,0.016306150552217204,0.002985664903595969,0.013483777796142188,0.004302076311881131,0.13572258870890816,0.0015015297320445232,0.10317857731583717,0.2654423937938417
